participant_id,mapping,trial_number,presentation_order,completion_time_s,final_position_error,final_orientation_error_deg,mode_switches,path_length
P03,1,2,2,148.577,0.0446,5.97,6,3.5330
P03,1,3,3,53.095,0.0318,3.42,4,2.8063
P03,1,4,4,42.821,0.0444,4.21,2,2.7254
