participant_id,mapping,trial_number,presentation_order,completion_time_s,final_position_error,final_orientation_error_deg,mode_switches,path_length
P02,1,1,1,162.530,0.0190,3.64,904,41.7392
P02,1,2,2,164.794,0.0271,7.02,6,5.2447
P02,1,3,3,302.275,0.0191,7.01,15,7.0628
