participant_id,mapping,trial_number,presentation_order,completion_time_s,final_position_error,final_orientation_error_deg,mode_switches,path_length
P05,1,1,1,22.914,0.0463,5.78,2,1.8331
P05,1,2,2,27.745,0.0209,4.38,6,3.9978
P05,1,3,3,13.300,0.0305,5.60,2,1.5293
